t,range
260.918,0.43624797893726075
261.018,0.4229420327237
261.218,0.4115631670017971
261.318,0.423080118072938
261.418,0.4323811345542221
261.518,0.4218245988953414
261.618,0.41631583283898216
261.718,0.42405853044596753
261.918,0.41491419564160165
262.018,0.4271049435550495
262.118,0.4218867704832078
262.318,0.42116140842252536
262.418,0.42010132841740844
262.518,0.4522090523253245
262.618,0.42982979841156677
262.718,0.42430938403517376
262.818,0.4224955046140813
263.018,0.4362788433242404
263.218,0.41907294620518026
263.318,0.42386080295634926
263.418,0.43226823443613416
263.619,0.42342554496188683
263.718,0.42677988061799926
263.818,0.4274367348245948
264.018,0.4041059529666108
264.118,0.3992622392733004
264.218,0.38795733144884204
264.318,0.3904175673219874
264.418,0.36710362562090265
264.518,0.40348606639364165
264.718,0.36289771862051384
264.818,0.3681412530538114
264.918,0.36588611885399597
265.018,0.3697964709046356
265.118,0.39380607809775625
265.218,0.32375248425904624
265.418,0.25454408630546255
265.518,0.21151998057844124
265.618,0.19684195446684868
265.818,0.18675731163788178
265.918,0.19030366874950222
266.119,0.11821386928420838
266.218,0.1369614733557056
266.318,0.148516263787497
266.518,0.14121845316442522
266.618,0.42881657566422005
266.818,0.3682900094409086
266.918,0.3432024043946344
267.018,0.36204222907185735
267.119,0.34116947968193034
267.318,0.3353971214621976
267.518,0.3405454387811153
267.618,0.37474564339506045
267.818,0.37568525226572214
267.918,0.38044577322815804
268.018,0.3447200569514555
268.218,0.34965562248001514
268.318,0.3662723596811739
268.418,0.3761479780257485
268.618,0.3483425563648964
268.718,0.33236572305379847
268.918,0.3257236451658236
269.018,0.3110474375137023
269.118,0.3040282520875141
269.318,0.28802925442582106
269.418,0.2360761466846537
269.518,0.2204117481287242
269.618,0.21864109352297048
269.718,0.19827235840170293
269.818,0.2287299567900597
270.018,0.20827830468742542
270.118,0.1957422974787977
270.218,0.18949812871519445
270.418,0.17431863229902017
270.518,0.18457625067863684
270.618,0.20382441495619055
270.718,0.17912164715626888
270.818,0.1835592263919612
270.918,0.16986938525758077
271.018,0.18164619100129606
271.118,0.16887026560787616
271.218,0.1714236285580913
271.318,0.1871021454803418
271.518,0.2219482327924395
271.618,0.1940908618168349
271.818,0.2322971653567834
271.918,0.23232836600797757
272.018,0.4316114623466001
272.118,0.41440275153951445
272.218,0.4419447270308459
272.318,0.41583693028915275
272.518,0.4208764364416858
272.618,0.4281779920030976
272.818,0.39596997539708395
272.918,0.4029995198812937
273.018,0.4007597429933336
273.218,0.3782021679660536
273.318,0.37620003450611467
273.518,0.39097525623765805
273.618,0.40062283713977875
273.718,0.40181526118955085
273.818,0.3604542930058584
273.918,0.3942867317726755
274.018,0.3685588704472138
274.218,0.3705889111353692
274.318,0.4054489038890011
274.418,0.37684454625752833
274.518,0.36291439524761626
274.618,0.3535908514546653
274.718,0.3518315134627403
274.918,0.361150455849293
275.018,0.37323691617315413
275.218,0.36691115054127593
275.318,0.3804564637931318
275.518,0.36448682961209317
